orig,hira,kana,hepburn,kunrei,passport
安住,あんじゅう,アンジュウ,anjuu,anjuu,anjuu
案出,あんしゅつ,アンシュツ,anshutsu,ansyutu,anshutsu
暗唱,あんしょう,アンショウ,anshou,ansyou,anshou
暗誦,あんしょう,アンショウ,anshou,ansyou,anshou
諳誦,あんしょう,アンショウ,anshou,ansyou,anshou
安心,あんしん,アンシン,anshin,ansin,anshin
安息,あんそく,アンソク,ansoku,ansoku,ansoku
安置,あんち,アンチ,anchi,anti,anchi
安着,あんちゃく,アンチャク,anchaku,antyaku,anchaku
暗中模索,あんちゅうもさく,アンチュウモサク,anchuumosaku,antyuumosaku,anchumosaku
安定,あんてい,アンテイ,antei,antei,antei
暗転,あんてん,アンテン,anten,anten,anten
あんど,あんど,アンド,ando,ando,ando
安堵,あんど,アンド,ando,ando,ando
案内,あんない,アンナイ,annai,annai,annai
安養,あんよう,アンヨウ,anyou,anyou,anyou
按排,あんばい,アンバイ,anbai,anbai,ambai
按配,あんばい,アンバイ,anbai,anbai,ambai
案配,あんばい,アンバイ,anbai,anbai,ambai
按腹,あんぷく,アンプク,anpuku,anpuku,ampuku
按分,あんぶん,アンブン,anbun,anbun,ambun
案分,あんぶん,アンブン,anbun,anbun,ambun
按摩,あんま,アンマ,anma,anma,amma
安眠,あんみん,アンミン,anmin,anmin,ammin
暗躍,あんやく,アンヤク,anyaku,anyaku,anyaku
あんよ,あんよ,アンヨ,anyo,anyo,anyo
いあつ,いあつ,イアツ,iatsu,iatu,iatsu
威圧,いあつ,イアツ,iatsu,iatu,iatsu
慰安,いあん,イアン,ian,ian,ian
逶迤,いい,イイ,ii,ii,ii
いいつけ,いいつけ,イイツケ,iitsuke,iituke,iitsuke
いいね,いいね,イイネ,iine,iine,iine
いいのがれ,いいのがれ,イイノガレ,iinogare,iinogare,iinogare
いいひらき,いいひらき,イイヒラキ,iihiraki,iihiraki,iihiraki
いいわけ,いいわけ,イイワケ,iiwake,iiwake,iiwake
怡悦,いえつ,イエツ,ietsu,ietu,ietsu
いえで,いえで,イエデ,iede,iede,iede
家出,いえで,イエデ,iede,iede,iede
威嚇,いかく,イカク,ikaku,ikaku,ikaku
移監,いかん,イカン,ikan,ikan,ikan
移管,いかん,イカン,ikan,ikan,ikan
委棄,いき,イキ,iki,iki,iki
意企,いき,イキ,iki,iki,iki
遺棄,いき,イキ,iki,iki,iki
いきき,いきき,イキキ,ikiki,ikiki,ikiki
意気投合,いきとうごう,イキトウゴウ,ikitougou,ikitougou,ikitogou
いきぬき,いきぬき,イキヌキ,ikinuki,ikinuki,ikinuki
依拠,いきょ,イキョ,ikyo,ikyo,ikyo
移居,いきょ,イキョ,ikyo,ikyo,ikyo
育児,いくじ,イクジ,ikuji,ikuzi,ikuji
育成,いくせい,イクセイ,ikusei,ikusei,ikusei
育苗,いくびょう,イクビョウ,ikubyou,ikubyou,ikubyou
育毛,いくもう,イクモウ,ikumou,ikumou,ikumou
畏敬,いけい,イケイ,ikei,ikei,ikei
いけどり,いけどり,イケドリ,ikedori,ikedori,ikedori
意見,いけん,イケン,iken,iken,iken
移建,いけん,イケン,iken,iken,iken
遺言,ゆいごん,ユイゴン,yuigon,yuigon,yuigon
移行,いこう,イコウ,ikou,ikou,iko
移項,いこう,イコウ,ikou,ikou,iko
いさかい,いさかい,イサカイ,isakai,isakai,isakai
縊殺,えいさつ,エイサツ,eisatsu,eisatu,eisatsu
意志,いし,イシ,ishi,isi,ishi
移徙,いし,イシ,ishi,isi,ishi
縊死,いし,イシ,ishi,isi,ishi
遺矢,いし,イシ,ishi,isi,ishi
頤使,いし,イシ,ishi,isi,ishi
頤指,いし,イシ,ishi,isi,ishi
医治,いじ,イジ,iji,izi,iji
維持,いじ,イジ,iji,izi,iji
意識,いしき,イシキ,ishiki,isiki,ishiki
意思決定,いしけってい,イシケッテイ,ishikettei,isikettei,ishikettei
遺失,いしつ,イシツ,ishitsu,isitu,ishitsu
意思表示,いしひょうじ,イシヒョウジ,ishihyouji,isihyouzi,ishihyouji
慰藉,いしゃ,イシャ,isha,isya,isha
慰謝,いしゃ,イシャ,isha,isya,isha
蝟集,いしゅう,イシュウ,ishuu,isyuu,ishuu
移住,いじゅう,イジュウ,ijuu,ijuu,ijuu
委縮,いしゅく,イシュク,ishuku,isyuku,ishuku
萎縮,いしゅく,イシュク,ishuku,isyuku,ishuku
移乗,いじょう,イジョウ,ijou,ijou,ijou
移譲,いじょう,イジョウ,ijou,ijou,ijou
委譲,いじょう,イジョウ,ijou,ijou,ijou
異常終了,いじょうしゅうりょう,イジョウシュウリョウ,ijoushuuryou,ijousyuuryou,ijoushuuryou
依嘱,いしょく,イショク,ishoku,isyoku,ishoku
移植,いしょく,イショク,ishoku,isyoku,ishoku
遺嘱,いしょく,イショク,ishoku,isyoku,ishoku
いすとり,いすとり,イストリ,isutori,isutori,isutori
為政,いせい,イセイ,isei,isei,isei
遺精,いせい,イセイ,isei,isei,isei
移籍,いせき,イセキ,iseki,iseki,iseki
移設,いせつ,イセツ,isetsu,isetu,isetsu
遺贈,いぞう,イゾウ,izou,izou,izou
いそうろう,いそうろう,イソウロウ,isourou,isourou,isorou
依存,いぞん,イゾン,izon,izon,izon
遺存,いぞん,イゾン,izon,izon,izon
依託,いたく,イタク,itaku,itaku,itaku
委託,いたく,イタク,itaku,itaku,itaku
いたずら,いたずら,イタズラ,itazura,itazura,itazura
いたずらがき,いたずらがき,イタズラガキ,itazuragaki,itazuragaki,itazuragaki
いたずらじに,いたずらじに,イタズラジニ,itazurajini,itazurazini,itazurajini
いたちごっこ,いたちごっこ,イタチゴッコ,itachigokko,itatigokko,itachigokko
位置,いち,イチ,ichi,iti,ichi
一握,いちあく,イチアク,ichiaku,itiaku,ichiaku
移築,いちく,イチク,ichiku,itiku,ichiku
一言,ひとこと,ヒトコト,hitokoto,hitokoto,hitokoto
一巡,いちじゅん,イチジュン,ichijun,itijun,ichijun
一段落,ひとだんらく,ヒトダンラク,hitodanraku,hitodanraku,hitodanraku
一任,いちにん,イチニン,ichinin,itinin,ichinin
一望,いちぼう,イチボウ,ichibou,itibou,ichibo
一揖,いちゆう,イチユウ,ichiyuu,itiyuu,ichiyuu
移牒,いちょう,イチョウ,ichou,ityou,icho
一覧,いちらん,イチラン,ichiran,itiran,ichiran
一礼,いちれい,イチレイ,ichirei,itirei,ichirei
一喝,いっかつ,イッカツ,ikkatsu,ikkatu,ikkatsu
一貫,いっかん,イッカン,ikkan,ikkan,ikkan
逸機,いっき,イッキ,ikki,ikki,ikki
一喜一憂,いっきいちゆう,イッキイチユウ,ikkiichiyuu,ikkiitiyuu,ikkiichiyuu
一計,いっけい,イッケイ,ikkei,ikkei,ikkei
一決,いっけつ,イッケツ,ikketsu,ikketu,ikketsu
溢血,いっけつ,イッケツ,ikketsu,ikketu,ikketsu
一見,いっけん,イッケン,ikken,ikken,ikken
一顧,いっこ,イッコ,ikko,ikko,ikko
一考,いっこう,イッコウ,ikkou,ikkou,ikkou
一死,いっし,イッシ,isshi,issi,isshi
一周,いっしゅう,イッシュウ,isshuu,issyuu,isshuu
一蹴,いっしゅう,イッシュウ,isshuu,issyuu,isshuu
一笑,いっしょう,イッショウ,isshou,issyou,isshou
一新,いっしん,イッシン,isshin,issin,isshin
一進一退,いっしんいったい,イッシンイッタイ,isshin'ittai,issin'ittai,isshinittai
溢水,いっすい,イッスイ,issui,issui,issui
一掃,いっそう,イッソウ,issou,issou,issou
一体化,いったいか,イッタイカ,ittaika,ittaika,ittaika
逸脱,いつだつ,イツダツ,itsudatsu,itudatu,itsudatsu
一致,いっち,イッチ,itchi,itti,itchi
一定,いってい,イッテイ,ittei,ittei,ittei
一擲,いってき,イッテキ,itteki,itteki,itteki
一転,いってん,イッテン,itten,itten,itten
一刀,いっとう,イットウ,ittou,ittou,ittou
一般化,いっぱんか,イッパンカ,ippanka,ippanka,ippanka
一服,いっぷく,イップク,ippuku,ippuku,ippuku
一変,いっぺん,イッペン,ippen,ippen,ippen
一報,いっぽう,イッポウ,ippou,ippou,ippou
移転,いてん,イテン,iten,iten,iten
遺伝,いでん,イデン,iden,iden,iden
意図,いと,イト,ito,ito,ito
異動,いどう,イドウ,idou,idou,idou
移動,いどう,イドウ,idou,idou,idou
井戸端会議,いどばたかいぎ,イドバタカイギ,idobatakaigi,idobatakaigi,idobatakaigi
いとまごい,いとまごい,イトマゴイ,itomagoi,itomagoi,itomagoi
稲作,いなさく,イナサク,inasaku,inasaku,inasaku
囲繞,いじょう,イジョウ,ijou,ijou,ijou
遺尿,いにょう,イニョウ,inyou,inyou,inyou
委任,いにん,イニン,inin,inin,inin
いぬじに,いぬじに,イヌジニ,inujini,inuzini,inujini
いねむり,いねむり,イネムリ,inemuri,inemuri,inemuri
いのちごい,いのちごい,イノチゴイ,inochigoi,inotigoi,inochigoi
いのちびろい,いのちびろい,イノチビロイ,inochibiroi,inotibiroi,inochibiroi
違背,いはい,イハイ,ihai,ihai,ihai
威迫,いはく,イハク,ihaku,ihaku,ihaku
いばり,いばり,イバリ,ibari,ibari,ibari
違反,いはん,イハン,ihan,ihan,ihan
違犯,いはん,イハン,ihan,ihan,ihan
慰撫,いぶ,イブ,ibu,ibu,ibu
衣服,いふく,イフク,ifuku,ifuku,ifuku
移封,いほう,イホウ,ihou,ihou,ihou
意味,いみ,イミ,imi,imi,imi
移民,いみん,イミン,imin,imin,imin
イメージ,いめーじ,イメージ,imeeji,imeezi,imeeji
イメージチェンジ,いめーじちぇんじ,イメージチェンジ,imeejichenji,imeezityenzi,imeejichienji
イメチェン,いめちぇん,イメチェン,imechen,imetyen,imechien
慰問,いもん,イモン,imon,imon,imon
いやがらせ,いやがらせ,イヤガラセ,iyagarase,iyagarase,iyagarase
意訳,いやく,イヤク,iyaku,iyaku,iyaku
違約,いやく,イヤク,iyaku,iyaku,iyaku
嫌気,いやけ,イヤケ,iyake,iyake,iyake
依頼,いらい,イライ,irai,irai,irai
慰留,いりゅう,イリュウ,iryuu,iryuu,iryuu
移流,いりゅう,イリュウ,iryuu,iryuu,iryuu
遺留,いりゅう,イリュウ,iryuu,iryuu,iryuu
慰霊,いれい,イレイ,irei,irei,irei
違令,いれい,イレイ,irei,irei,irei
イレギュラー,いれぎゅらー,イレギュラー,iregyuraa,iregyuraa,iregyuraa
慰労,いろう,イロウ,irou,irou,irou
いろどり,いろどり,イロドリ,irodori,irodori,irodori
允可,いんか,インカ,inka,inka,inka
印可,いんか,インカ,inka,inka,inka
印花,いんか,インカ,inka,inka,inka
引火,いんか,インカ,inka,inka,inka
允許,いんきょ,インキョ,inkyo,inkyo,inkyo
隠居,いんきょ,インキョ,inkyo,inkyo,inkyo
引見,いんけん,インケン,inken,inken,inken
印行,いんこう,インコウ,inkou,inkou,inko
引航,いんこう,インコウ,inkou,inkou,inko
印刷,いんさつ,インサツ,insatsu,insatu,insatsu
印字,いんじ,インジ,inji,inzi,inji
飲酒,いんしゅ,インシュ,inshu,insyu,inshu
飲酒運転,いんしゅうんてん,インシュウンテン,inshuunten,insyuunten,inshuunten
飲食,いんしょく,インショク,inshoku,insyoku,inshoku
引水,いんすい,インスイ,insui,insui,insui
飲水,いんすい,インスイ,insui,insui,insui
インストール,いんすとーる,インストール,insutooru,insutooru,insutooru
インスパイア,いんすぱいあ,インスパイア,insupaia,insupaia,insupaia
隠栖,いんせい,インセイ,insei,insei,insei
隠棲,いんせい,インセイ,insei,insei,insei
奉納,ほうのう,ホウノウ,hounou,hounou,hounou
引責,いんせき,インセキ,inseki,inseki,inseki
引率,いんそつ,インソツ,insotsu,insotu,insotsu
引退,いんたい,インタイ,intai,intai,intai
隠退,いんたい,インタイ,intai,intai,intai
引致,いんち,インチ,inchi,inti,inchi
淫蕩,いんとう,イントウ,intou,intou,into
隠匿,いんとく,イントク,intoku,intoku,intoku
隠遁,いんとん,イントン,inton,inton,inton
隠忍,いんにん,インニン,innin,innin,innin
隠避,いんぴ,インピ,inpi,inpi,impi
インプット,いんぷっと,インプット,inputto,inputto,imputto
隠蔽,いんぺい,インペイ,inpei,inpei,impei
隠滅,いんめつ,インメツ,inmetsu,inmetu,immetsu
引用,いんよう,インヨウ,inyou,inyou,inyou
ウインク,ういんく,ウインク,uinku,uinku,uinku
うえじに,うえじに,ウエジニ,uejini,uezini,uejini
右往左往,うおうさおう,ウオウサオウ,uousaou,uousaou,uosao
ウォーキング,うぉーきんぐ,ウォーキング,uookingu,uookingu,uookingu
ウォーミングアップ,うぉーみんぐあっぷ,ウォーミングアップ,uoominguappu,uoominguappu,uoominguappu
ウォームアップ,うぉーむあっぷ,ウォームアップ,uoomuappu,uoomuappu,uoomuappu
羽化,うか,ウカ,uka,uka,uka
迂回,うかい,ウカイ,ukai,ukai,ukai
うがい,うがい,ウガイ,ugai,ugai,ugai
うきよばなれ,うきよばなれ,ウキヨバナレ,ukiyobanare,ukiyobanare,ukiyobanare
右傾,うけい,ウケイ,ukei,ukei,ukei
うけおい,うけおい,ウケオイ,ukeoi,ukeoi,ukeoi
うけこたえ,うけこたえ,ウケコタエ,ukekotae,ukekotae,ukekotae
うけわたし,うけわたし,ウケワタシ,ukewatashi,ukewatasi,ukewatashi
烏合,うごう,ウゴウ,ugou,ugou,ugou
右顧左眄,うこさべん,ウコサベン,ukosaben,ukosaben,ukosaben
齲蝕,うしょく,ウショク,ushoku,usyoku,ushoku
うすぎり,うすぎり,ウスギリ,usugiri,usugiri,usugiri
薄化粧,うすげしょう,ウスゲショウ,usugeshou,usugesyou,usugeshou
右折,うせつ,ウセツ,usetsu,usetu,usetsu
雨雪,あめゆき,アメユキ,ameyuki,ameyuki,ameyuki
うたたね,うたたね,ウタタネ,utatane,utatane,utatane
うちあわせ,うちあわせ,ウチアワセ,uchiawase,utiawase,uchiawase
うちいわい,うちいわい,ウチイワイ,uchiiwai,utiiwai,uchiiwai
うちけし,うちけし,ウチケシ,uchikeshi,utikesi,uchikeshi
うちこわし,うちこわし,ウチコワシ,uchikowashi,utikowasi,uchikowashi
うちじに,うちじに,ウチジニ,uchijini,utizini,uchijini
宇宙開発,うちゅうかいはつ,ウチュウカイハツ,uchuukaihatsu,utyuukaihatu,uchukaihatsu
うちわもめ,うちわもめ,ウチワモメ,uchiwamome,utiwamome,uchiwamome
鬱屈,うっくつ,ウックツ,ukkutsu,ukkutu,ukkutsu
鬱血,うっけつ,ウッケツ,ukketsu,ukketu,ukketsu
鬱積,うっせき,ウッセキ,usseki,usseki,usseki
うったて,うったて,ウッタテ,uttate,uttate,uttate
うつりかわり,うつりかわり,ウツリカワリ,utsurikawari,uturikawari,utsurikawari
うでぐみ,うでぐみ,ウデグミ,udegumi,udegumi,udegumi
うでまくり,うでまくり,ウデマクリ,udemakuri,udemakuri,udemakuri
うとんずる,うとんずる,ウトンズル,utonzuru,utonzuru,utonzuru
紆余曲折,うよきょくせつ,ウヨキョクセツ,uyokyokusetsu,uyokyokusetu,uyokyokusetsu
羽翼,うよく,ウヨク,uyoku,uyoku,uyoku
うらうち,うらうち,ウラウチ,urauchi,urauti,urauchi
うらがき,うらがき,ウラガキ,uragaki,uragaki,uragaki
うらばり,うらばり,ウラバリ,urabari,urabari,urabari
うりかい,うりかい,ウリカイ,urikai,urikai,urikai
うりきれ,うりきれ,ウリキレ,urikire,urikire,urikire
うるしぬり,うるしぬり,ウルシヌリ,urushinuri,urusinuri,urushinuri
うわがき,うわがき,ウワガキ,uwagaki,uwagaki,uwagaki
うわき,うわき,ウワキ,uwaki,uwaki,uwaki
浮気,うわき,ウワキ,uwaki,uwaki,uwaki
うわさ,うわさ,ウワサ,uwasa,uwasa,uwasa
うわづみ,うわづみ,ウワヅミ,uwazumi,uwazumi,uwazumi
うわのせ,うわのせ,ウワノセ,uwanose,uwanose,uwanose
運営,うんえい,ウンエイ,un'ei,un'ei,unei
運休,うんきゅう,ウンキュウ,unkyuu,unkyuu,unkyuu
運行,うんこう,ウンコウ,unkou,unkou,unko
運算,うんざん,ウンザン,unzan,unzan,unzan
雲集,うんしゅう,ウンシュウ,unshuu,unsyuu,unshuu
運上,うんじょう,ウンジョウ,unjou,unjou,unjou
運漕,うんそう,ウンソウ,unsou,unsou,unso
運送,うんそう,ウンソウ,unsou,unsou,unso
うんち,うんち,ウンチ,unchi,unti,unchi
運転,うんてん,ウンテン,unten,unten,unten
運動,うんどう,ウンドウ,undou,undou,undou
云云,うんぬん,ウンヌン,unnun,unnun,unnun
運搬,うんぱん,ウンパン,unpan,unpan,umpan
運用,うんよう,ウンヨウ,unyou,unyou,unyou
盈虧,えいき,エイキ,eiki,eiki,eiki
影響,えいきょう,エイキョウ,eikyou,eikyou,eikyou
営業,えいぎょう,エイギョウ,eigyou,eigyou,eigyou
詠吟,えいぎん,エイギン,eigin,eigin,eigin
永訣,えいけつ,エイケツ,eiketsu,eiketu,eiketsu
栄枯,えいこ,エイコ,eiko,eiko,eiko
曳行,えいこう,エイコウ,eikou,eikou,eiko
詠史,えいし,エイシ,eishi,eisi,eishi
映写,えいしゃ,エイシャ,eisha,eisya,eisha
永住,えいじゅう,エイジュウ,eijuu,eijuu,eijuu
詠唱,えいしょう,エイショウ,eishou,eisyou,eishou
栄進,えいしん,エイシン,eishin,eisin,eishin
詠進,えいしん,エイシン,eishin,eisin,eishin
永逝,えいせい,エイセイ,eisei,eisei,eisei
営繕,えいぜん,エイゼン,eizen,eizen,eizen
営巣,えいそう,エイソウ,eisou,eisou,eiso
営造,えいぞう,エイゾウ,eizou,eizou,eizou
永続,えいぞく,エイゾク,eizoku,eizoku,eizoku
栄達,えいたつ,エイタツ,eitatsu,eitatu,eitatsu
詠嘆,えいたん,エイタン,eitan,eitan,eitan
詠歎,えいたん,エイタン,eitan,eitan,eitan
栄転,えいてん,エイテン,eiten,eiten,eiten
営農,えいのう,エイノウ,einou,einou,einou
叡聞,えいぶん,エイブン,eibun,eibun,eibun
永眠,えいみん,エイミン,eimin,eimin,eimin
叡慮,えいりょ,エイリョ,eiryo,eiryo,eiryo
営林,えいりん,エイリン,eirin,eirin,eirin
液化,えきか,エキカ,ekika,ekika,ekika
易占,えきせん,エキセン,ekisen,ekisen,ekisen
易断,えきだん,エキダン,ekidan,ekidan,ekidan
回向,えこう,エコウ,ekou,ekou,eko
廻向,えこう,エコウ,ekou,ekou,eko
壊死,えし,エシ,eshi,esi,eshi
会釈,えしゃく,エシャク,eshaku,esyaku,eshaku
壊疽,えそ,エソ,eso,eso,eso
越境,えっきょう,エッキョウ,ekkyou,ekkyou,ekkyou
謁見,えっけん,エッケン,ekken,ekken,ekken
越権,えっけん,エッケン,ekken,ekken,ekken
H,H,H,H,H,H
エッチ,えっち,エッチ,etchi,etti,etchi
越冬,えっとう,エットウ,ettou,ettou,ettou
悦服,えっぷく,エップク,eppuku,eppuku,eppuku
閲覧,えつらん,エツラン,etsuran,eturan,etsuran
会得,えとく,エトク,etoku,etoku,etoku
エラー,えらー,エラー,eraa,eraa,eraa
えりごのみ,えりごのみ,エリゴノミ,erigonomi,erigonomi,erigonomi
演,えん,エン,en,en,en
遠位,えんい,エンイ,en'i,en'i,eni
演繹,えんえき,エンエキ,en'eki,en'eki,eneki
厭悪,えんお,エンオ,en'o,en'o,eno
偃臥,えんが,エンガ,enga,enga,enga
宴会,えんかい,エンカイ,enkai,enkai,enkai
遠隔操作,えんかくそうさ,エンカクソウサ,enkakusousa,enkakusousa,enkakusosa
