orig,hira,vowel
叡聞,えいぶん,eiun
永眠,えいみん,eiin
叡慮,えいりょ,eio
営林,えいりん,eiin
液化,えきか,eia
易占,えきせん,eien
易断,えきだん,eian
回向,えこう,eou
廻向,えこう,eou
壊死,えし,ei
会釈,えしゃく,eau
壊疽,えそ,eo
越境,えっきょう,eou
謁見,えっけん,een
越権,えっけん,een
H,H,
エッチ,えっち,ei
越冬,えっとう,eou
悦服,えっぷく,euu
閲覧,えつらん,euan
会得,えとく,eou
エラー,えらー,eaa
えりごのみ,えりごのみ,eionoi
演,えん,en
遠位,えんい,eni
演繹,えんえき,enei
厭悪,えんお,eno
偃臥,えんが,ena
宴会,えんかい,enai
遠隔操作,えんかくそうさ,enauoua
厭忌,えんき,eni
延期,えんき,eni
演戯,えんぎ,eni
演技,えんぎ,eni
演義,えんぎ,eni
縁組,えんぐみ,enui
嚥下,えんか,ena
厭倦,えんけん,enen
掩護,えんご,eno
援護,えんご,eno
遠交,えんこう,enou
怨嗟,えんさ,ena
演算,えんざん,enan
鉛槧,えんざん,enan
演習,えんしゅう,enuu
円熟,えんじゅく,enuu
演出,えんしゅつ,enuu
援助,えんじょ,eno
エンジョイ,えんじょい,enoi
延焼,えんしょう,enou
炎上,えんじょう,enou
延伸,えんしん,enin
怨声,えんせい,enei
遠征,えんせい,enei
遠逝,えんせい,enei
塩析,えんせき,enei
塩漬,しおづけ,ioue
演説,えんぜつ,eneu
演奏,えんそう,enou
塩蔵,えんぞう,enou
遠足,えんそく,enou
延滞,えんたい,enai
遠投,えんとう,enou
延年,えんねん,ennen
延納,えんのう,ennou
エンパワーメント,えんぱわーめんと,enaaaeno
円舞,えんぶ,enu
演武,えんぶ,enu
演舞,えんぶ,enu
掩蔽,えんぺい,enei
援兵,えんぺい,enei
縁辺,えんぺん,enen
遠望,えんぼう,enou
遠謀,えんぼう,enou
魘魅,えんみ,eni
援用,えんよう,enou
遠来,えんらい,enai
遠慮,えんりょ,eno
横溢,おういつ,ouiu
汪溢,おういつ,ouiu
押印,おういん,ouin
押韻,おういん,ouin
応援,おうえん,ouen
応化,おうか,oua
押下,おうか,oua
謳歌,おうか,oua
黄化,おうか,oua
枉駕,おうが,oua
横臥,おうが,oua
往還,おうかん,ouan
応急処置,おうきゅうしょち,ouuuoi
応急手当,おうきゅうてあて,ouuueae
往航,おうこう,ouou
横行,おうこう,ouou
応札,おうさつ,ouau
殴殺,おうさつ,ouau
押紙,おうし,oui
横死,おうし,oui
応射,おうしゃ,oua
応酬,おうしゅう,ouuu
押収,おうしゅう,ouuu
黄熟,こうじゅく,ouuu
鞅掌,おうしょう,ouou
応召,おうしょう,ouou
応唱,おうしょう,ouou
往生,おうじょう,ouou
往診,おうしん,ouin
応接,おうせつ,oueu
応戦,おうせん,ouen
殴打,おうだ,oua
応対,おうたい,ouai
応諾,おうだく,ouau
横断,おうだん,ouan
横着,おうちゃく,ouau
横転,おうてん,ouen
嘔吐,おうと,ouo
応答,おうとう,ouou
押捺,おうなつ,ounau
懊悩,おうのう,ounou
往復,おうふく,ouuu
往返,おうへん,ouen
応変,おうへん,ouen
黄変,おうへん,ouen
応募,おうぼ,ouo
往訪,おうほう,ouou
応用,おうよう,ouou
往来,おうらい,ouai
横流,おうりゅう,ouuu
横領,おうりょう,ouou
横列,おうれつ,oueu
オウンゴール,おうんごーる,ounoou
嗚咽,おえつ,oeu
おおいびき,おおいびき,ooiii
オークション,おーくしょん,oouon
OK,OK,
おおけが,おおけが,ooea
おおさわぎ,おおさわぎ,ooaai
オーソライズ,おーそらいず,oooaiu
大損,おおぞん,ooon
オーダー,おーだー,ooaa
おおわらい,おおわらい,ooaai
おかわり,おかわり,oaai
憶測,おくそく,ouou
臆測,おくそく,ouou
臆断,おくだん,ouan
おくりな,おくりな,ouina
おくりもの,おくりもの,ouiono
おさらい,おさらい,oaai
おしあらい,おしあらい,oiaai
おしうり,おしうり,oiui
おしおき,おしおき,oioi
おしがみ,おしがみ,oiai
おじぎ,おじぎ,oii
おしっこ,おしっこ,oio
おしめ,おしめ,oie
おしゃべり,おしゃべり,oaei
汚辱,おじょく,oou
汚染,おせん,oen
汚損,おそん,oon
汚濁,おだく,oau
御茶,おちゃ,oa
おでかけ,おでかけ,oeae
おとぎばなし,おとぎばなし,ooianai
オナニー,おなにー,onanii
おねがい,おねがい,oneai
おはなつみ,おはなつみ,oanaui
おまけ,おまけ,oae
おまわり,おまわり,oaai
おむかえ,おむかえ,ouae
おむつ,おむつ,ouu
汚名挽回,おめいばんかい,oeianai
おめこ,おめこ,oeo
おもいだしわらい,おもいだしわらい,ooiaiaai
おもてなし,おもてなし,ooenai
おやすみ,おやすみ,oaui
おわかれ,おわかれ,oaae
恩返し,おんがえし,onaei
温灸,おんきゅう,onuu
恩赦,おんしゃ,ona
音写,おんしゃ,ona
温存,おんぞん,onon
音読,おんどく,onou
音便,おんびん,onin
おんぶ,おんぶ,onu
音訳,おんやく,onau
音読み,おんよみ,onoi
遠流,おんる,onu
賀,が,a
加圧,かあつ,aau
カール,かーる,aau
改悪,かいあく,aiau
改印,かいいん,aiin
開院,かいいん,aiin
改過,かいか,aia
開化,かいか,aia
開花,かいか,aia
開会,かいかい,aiai
改革,かいかく,aiau
開学,かいがく,aiau
外郭,がいかく,aiau
概括,がいかつ,aiau
開巻,かいかん,aian
開館,かいかん,aian
概観,がいかん,aian
蓋棺,がいかん,aian
開眼,かいがん,aian
回帰,かいき,aii
会議,かいぎ,aii
回議,かいぎ,aii
懐疑,かいぎ,aii
快気,かいき,aii
懐郷,かいきょう,aiou
改行,かいぎょう,aiou
開業,かいぎょう,aiou
開局,かいきょく,aiou
皆勤,かいきん,aiin
解禁,かいきん,aiin
会計,かいけい,aiei
解決,かいけつ,aieu
会見,かいけん,aien
改憲,かいけん,aien
改元,かいげん,aien
開元,かいげん,aien
概見,がいけん,aien
回顧,かいこ,aio
懐古,かいこ,aio
解雇,かいこ,aio
介護,かいご,aio
悔悟,かいご,aio
偕行,かいこう,aiou
回航,かいこう,aiou
廻航,かいこう,aiou
恢弘,かいこう,aiou
改稿,かいこう,aiou
蟹行,かいこう,aiou
邂逅,かいこう,aiou
開咬,かいこう,aiou
開校,かいこう,aiou
開港,かいこう,aiou
開講,かいこう,aiou
会合,かいごう,aiou
改号,かいごう,aiou
開合,かいごう,aiou
戒告,かいこく,aiou
誡告,かいこく,aiou
開国,かいこく,aiou
骸骨,がいこつ,aiou
かいごろし,かいごろし,aiooi
悔恨,かいこん,aion
開墾,かいこん,aion
皆済,かいさい,aiai
開催,かいさい,aiai
介在,かいざい,aiai
改作,かいさく,aiau
解散,かいさん,aian
改竄,かいざん,aian
概算,がいさん,aian
回視,かいし,aii
怪死,かいし,aii
改氏,かいし,aii
開始,かいし,aii
開市,かいし,aii
解字,かいじ,aii
開示,かいじ,aii
開式,かいしき,aiii
膾炙,かいしゃ,aia
介錯,かいしゃく,aiau
解釈,かいしゃく,aiau
回収,かいしゅう,aiuu
改修,かいしゅう,aiuu
改宗,かいしゅう,aiuu
懐柔,かいじゅう,aiuu
外出,がいしゅつ,aiuu
回春,かいしゅん,aiun
悔悛,かいしゅん,aiun
改悛,かいしゅん,aiun
買春,ばいしゅん,aiun
開所,かいしょ,aio
解除,かいじょ,aio
介助,かいじょ,aio
会商,かいしょう,aiou
回章,かいしょう,aiou
廻章,かいしょう,aiou
快勝,かいしょう,aiou
快翔,かいしょう,aiou
改称,かいしょう,aiou
解消,かいしょう,aiou
回状,かいじょう,aiou
解錠,かいじょう,aiou
開城,かいじょう,aiou
開場,かいじょう,aiou
開錠,かいじょう,aiou
外商,がいしょう,aiou
会食,かいしょく,aiou
解職,かいしょく,aiou
外食,がいしょく,aiou
回診,かいしん,aiin
改心,かいしん,aiin
改新,かいしん,aiin
改進,かいしん,aiin
凱陣,がいじん,aiin
戒心,かいしん,aiin
戒慎,かいしん,aiin
海水浴,かいすいよく,aiuiou
回生,かいせい,aiei
改姓,かいせい,aiei
改正,かいせい,aiei
開成,かいせい,aiei
解析,かいせき,aiei
回折,かいせつ,aieu
解説,かいせつ,aieu
開設,かいせつ,aieu
外切,がいせつ,aieu
外接,がいせつ,aieu
会戦,かいせん,aien
改選,かいせん,aien
海戦,かいせん,aien
改善,かいぜん,aien
凱旋,がいせん,aien
街宣,がいせん,aien
改組,かいそ,aio
会葬,かいそう,aiou
回想,かいそう,aiou
回漕,かいそう,aiou
回送,かいそう,aiou
廻漕,かいそう,aiou
廻送,かいそう,aiou
快走,かいそう,aiou
改葬,かいそう,aiou
改装,かいそう,aiou
潰走,かいそう,aiou
開創,かいそう,aiou
改造,かいぞう,aiou
解像,かいぞう,aiou
咳嗽,がいそう,aiou
外装,がいそう,aiou
懈怠,けたい,eai
懐胎,かいたい,aiai
拐帯,かいたい,aiai
改替,かいたい,aiai
解体,かいたい,aiai
改題,かいだい,aiai
解題,かいだい,aiai
開拓,かいたく,aiau
会談,かいだん,aian
快談,かいだん,aian
解団,かいだん,aian
慨嘆,がいたん,aian
改築,かいちく,aiiu
懐中,かいちゅう,aiuu
改鋳,かいちゅう,aiuu
外注,がいちゅう,aiuu
回腸,かいちょう,aiou
開帳,かいちょう,aiou
開通,かいつう,aiuu
改定,かいてい,aiei
改訂,かいてい,aiei
開廷,かいてい,aiei
概定,がいてい,aiei
回転,かいてん,aien
開展,かいてん,aien
開店,かいてん,aien
皆伝,かいでん,aien
開田,かいだ,aia
外転,がいてん,aien
ガイド,がいど,aio
回答,かいとう,aiou
回頭,かいとう,aiou
快投,かいとう,aiou
解党,かいとう,aiou
解答,かいとう,aiou
解糖,かいとう,aiou
開頭,かいとう,aiou
会同,かいどう,aiou
皆働,かいどう,aiou
開堂,かいどう,aiou
該当,がいとう,aiou
解読,かいどく,aiou
会読,かいどく,aiou
回読,かいどく,aiou
かいとり,かいとり,aioi
介入,かいにゅう,ainuu
懐妊,かいにん,ainin
解任,かいにん,ainin
壊廃,かいはい,aiai
改廃,かいはい,aiai
外泊,がいはく,aiau
開発,かいはつ,aiau
開幕,かいまく,aiau
回避,かいひ,aii
開扉,かいひ,aii
開披,かいひ,aii
解氷,かいひょう,aiou
開票,かいひょう,aiou
開封,かいふう,aiuu
回復,かいふく,aiuu
快復,かいふく,aiuu
恢復,かいふく,aiuu
開腹,かいふく,aiuu
開平,かいへい,aiei
壊変,かいへん,aien
改変,かいへん,aien
改編,かいへん,aien
快便,かいべん,aien
快弁,かいべん,aien
介抱,かいほう,aiou
壊崩,かいほう,aiou
懐抱,かいほう,aiou
解放,かいほう,aiou
開放,かいほう,aiou
解剖,かいぼう,aiou
会盟,かいめい,aiei
改名,かいめい,aiei
解明,かいめい,aiei
壊滅,かいめつ,aieu
潰滅,かいめつ,aieu
かいもの,かいもの,aiono
開門,かいもん,aion
解約,かいやく,aiau
回遊,かいゆう,aiuu
外遊,がいゆう,aiuu
海容,かいよう,aiou
解傭,かいよう,aiou
外用,がいよう,aiou
偕楽,かいらく,aiau
開落,かいらく,aiau
壊乱,かいらん,aian
潰乱,かいらん,aian
乖離,かいり,aii
解離,かいり,aii
改良,かいりょう,aiou
改暦,かいれき,aiei
潰裂,かいれつ,aieu
開裂,かいれつ,aieu
開炉,かいろ,aio
偕老,かいろう,aiou
会話,かいわ,aia
過飲,かいん,ain
カウント,かうんと,auno
課役,かやく,aau
かおづくり,かおづくり,aouui
加階,かかい,aai
加害,かがい,aai
瓦解,がかい,aai
科学,かがく,aau
化学変化,かがくへんか,aauena
かがみびらき,かがみびらき,aaiiai
加冠,かかん,aan
かきぞめ,かきぞめ,aioe
かきつけ,かきつけ,aiue
かきとり,かきとり,aioi
かきもの,かきもの,aiono
加虐,かぎゃく,aau
苛虐,かぎゃく,aau
加給,かきゅう,auu
佳境,かきょう,aou
架橋,かきょう,aou
稼業,かぎょう,aou
確言,かくげん,auen
覚悟,かくご,auo
画策,かくさく,auau
拡散,かくさん,auan
客死,かくし,aui
かくしだて,かくしだて,auiae
確執,かくしつ,auiu
馘首,くび,ui
鶴首,かくしゅ,auu
拡充,かくじゅう,auuu
学修,がくしゅう,auuu
学習,がくしゅう,auuu
確証,かくしょう,auou
革職,かくしょく,auou
確信,かくしん,auin
革新,かくしん,auin
廓清,かくせい,auei
覚醒,かくせい,auei
隔世,かくせい,auei
革正,かくせい,auei
学生運動,がくせいうんどう,aueiunou
隔絶,かくぜつ,aueu
拡大,かくだい,auai
喀痰,かくたん,auan
拡張,かくちょう,auou
劃定,かくてい,auei
画定,かくてい,auei
確定,かくてい,auei
確定申告,かくていしんこく,aueiinou
挌闘,かくとう,auou
格闘,かくとう,auou
確答,かくとう,auou
学道,がくどう,auou
獲得,かくとく,auou
確認,かくにん,aunin
格納,かくのう,aunou
核爆発,かくばくはつ,auauau
撹拌,かくはん,auan
攪拌,かくはん,auan
擱筆,かくひつ,auiu
核分裂反応,かくぶんれつはんのう,auuneuannou
確保,かくほ,auo
学問,がくもん,auon
確約,かくやく,auau
撹乱,かくらん,auan
攪乱,かくらん,auan
隔離,かくり,aui
確立,かくりつ,auiu
かくれんぼ,かくれんぼ,aueno
かけあし,かけあし,aeai
火刑,かけい,aei
科刑,かけい,aei
がけくずれ,がけくずれ,aeuue
かけくらべ,かけくらべ,aeuae
可決,かけつ,aeu
かけっこ,かけっこ,aeo
かけひき,かけひき,aeii
かけもち,かけもち,aeoi
かけゆ,かけゆ,aeu
加減,かげん,aen
加護,かご,ao
下降,かこう,aou
仮構,かこう,aou
加功,かこう,aou
加工,かこう,aou
架構,かこう,aou
化合,かごう,aou
過言,かごん,aon
かさあげ,かさあげ,aaae
がさいれ,がさいれ,aaie
仮作,かさく,aau
家作,かさく,aau
歌作,かさく,aau
加算,かさん,aan
過酸化,かさんか,aana
下賜,かし,ai
仮死,かし,ai
歌詞,かし,ai
加持,かじ,ai
餓死,がし,ai
可視化,かしか,aia
かしきり,かしきり,aiii
かしだし,かしだし,aiai
加湿,かしつ,aiu
過失,かしつ,aiu
かしつけ,かしつけ,aiue
仮借,かしゃ,aa
家借,かしゃく,aau
加重,かじゅう,auu
加除,かじょ,ao
仮称,かしょう,aou
歌唱,かしょう,aou
火傷,やけど,aeo
箇条書き,かじょうがき,aouai
仮植,かしょく,aou
加飾,かしょく,aou
過食,かしょく,aou
火食,かしょく,aou
臥褥,がじょく,aou
過信,かしん,ain
寡人,かじん,ain
下垂,かすい,aui
仮睡,かすい,aui
加水,かすい,aui
加水分解,かすいぶんかい,auiunai
カスタマイズ,かすたまいず,auaaiu
加勢,かせい,aei
化成,かせい,aei
課税,かぜい,aei
化石,かせき,aei
過積載,かせきさい,aeiai
仮設,かせつ,aeu
仮説,かせつ,aeu
架設,かせつ,aeu
加線,かせん,aen
架線,かせん,aen
瓦全,がぜん,aen
仮想,かそう,aou
仮葬,かそう,aou
仮装,かそう,aou
架装,かそう,aou
火葬,かそう,aou
加増,かぞう,aou
家蔵,かぞう,aou
架蔵,かぞう,aou
加速,かそく,aou
化体,かたい,aai
かたいれ,かたいれ,aaie
仮託,かたく,aau
かたたたき,かたたたき,aaaai
下達,かたつ,aau
かたづけ,かたづけ,aaue
加担,かたん,aan
荷担,かたん,aan
火中,かちゅう,auu
加徴,かちょう,aou
課徴,かちょう,aou
かつえじに,かつえじに,aueini
学究,がっきゅう,auu
学級閉鎖,がっきゅうへいさ,auueia
割拠,かっきょ,ao
恪勤,かっきん,ain
滑空,かっくう,auu
喀血,かっけつ,aeu
滑降,かっこう,aou
喝采,かっさい,aai
合作,がっさく,aau
合算,がっさん,aan
活写,かっしゃ,aa
合宿,がっしゅく,auu
