orig,hira,vowel
あきしも,あきしも,aiio
あきす,あきす,aiu
あきず,あきず,aiu
あきすねらい,あきすねらい,aiuneai
あきぜみ,あきぜみ,aiei
あきぞら,あきぞら,aioa
あきた,あきた,aia
あきたいぬ,あきたいぬ,aiainu
あきち,あきち,aii
あきつ,あきつ,aiu
あきづき,あきづき,aiui
あぎと,あぎと,aio
あきない,あきない,ainai
あきないぶね,あきないぶね,ainaiune
あきばれ,あきばれ,aiae
あきびより,あきびより,aiioi
あきま,あきま,aia
あきまつり,あきまつり,aiaui
あきや,あきや,aia
あきやすみ,あきやすみ,aiaui
あきやま,あきやま,aiaa
あきらめ,あきらめ,aiae
あきれがお,あきれがお,aieao
あきんど,あきんど,aino
あく,あく,au
悪,あく,au
灰汁,あく,au
アクアフィリア,あくあふぃりあ,auaiia
アクアマリン,あくあまりん,auaain
悪意,あくい,aui
悪因,あくいん,auin
悪運,あくうん,auun
悪影響,あくえいきょう,aueiou
悪疫,あくえき,auei
悪縁,あくえん,auen
悪戯,いたずら,iaua
悪逆,あくぎゃく,auau
悪行,あくぎょう,auou
悪言,あくげん,auen
悪業,あくぎょう,auou
悪妻,あくさい,auai
悪才,あくさい,auai
悪事,あくじ,aui
悪食,あくじき,auii
アクシスジカ,あくしすじか,auiuia
悪疾,あくしつ,auiu
悪質,あくしつ,auiu
アクシデント,あくしでんと,auieno
握手,あくしゅ,auu
悪手,あくしゅ,auu
悪趣,あくしゅ,auu
悪習,あくしゅう,auuu
悪臭,あくしゅう,auuu
悪趣味,あくしゅみ,auui
悪循環,あくじゅんかん,auunan
悪所,あくしょ,auo
悪書,あくしょ,auo
悪女,あくじょ,auo
アクション,あくしょん,auon
悪神,あくじん,auin
悪臣,あくしん,auin
アクス,あくす,auu
悪水,あくすい,auui
悪声,あくせい,auei
悪性,あくせい,auei
悪政,あくせい,auei
悪性腫瘍,あくせいしゅよう,aueiuou
アクセサリー,あくせさりー,aueaii
アクセシビリティ,あくせしびりてぃ,aueiiiei
アクセス,あくせす,aueu
アクセスカウンター,あくせすかうんたー,aueuaunaa
アクセル,あくせる,aueu
アクセルペダル,あくせるぺだる,aueueau
悪戦,あくせん,auen
悪銭,あくせん,auen
悪戦苦闘,あくせんくとう,auenuou
アクセント,あくせんと,aueno
悪僧,あくそう,auou
悪相,あくそう,auou
あくた,あくた,aua
アクター,あくたー,auaa
悪態,あくたい,auai
あくたもくた,あくたもくた,auaoua
あくち,あくち,aui
アクチオ,あくちお,auio
アクチニウム,あくちにうむ,auiniuu
アクチノイド,あくちのいど,auinoio
アクチュアリティー,あくちゅありてぃー,auuaieii
アクチン,あくちん,auin
アクティビティ,あくてぃびてぃ,aueiiei
アクティブシニア,あくてぃぶしにあ,aueiuinia
アクティブラーニング,あくてぃぶらーにんぐ,aueiuaaninu
悪天,あくてん,auen
悪天候,あくてんこう,auenou
悪党,あくとう,auou
悪童,あくどう,auou
あくとく,あくとく,auou
悪徳,あくとく,auou
悪人,あくにん,aunin
アクナレッジメント,あくなれっじめんと,aunaeieno
悪罵,あくば,aua
悪婆,あくば,aua
あくび,あくび,aui
悪筆,あくひつ,auiu
悪評,あくひょう,auou
悪風,あくふう,auuu
悪文,あくぶん,auun
悪弊,あくへい,auei
悪癖,あくへき,auei
悪変,あくへん,auen
悪報,あくほう,auou
悪法,あくほう,auou
あくま,あくま,aua
悪魔,あくま,aua
悪夢,あくむ,auu
アクメ,あくめ,aue
悪名,あくめい,auei
悪問,あくもん,auon
悪役,あくやく,auau
悪友,あくゆう,auuu
悪用,あくよう,auou
あぐら,あぐら,aua
悪辣,あくらつ,auau
アグリー,あぐりー,auii
悪龍,あくりゅう,auuu
悪霊,あくりょう,auou
握力,あくりょく,auou
アクリル,あくりる,auiu
あくるひ,あくるひ,auui
悪路,あくろ,auo
明,めい,ei
あげあし,あげあし,aeai
あけがた,あけがた,aeaa
挙げ句,あげく,aeu
挙句,あげく,aeu
あけくれ,あけくれ,aeue
あげしお,あげしお,aeio
あけしめ,あけしめ,aeie
あげぞこ,あげぞこ,aeoo
あけたて,あけたて,aeae
あけに,あけに,aeni
あけにうま,あけにうま,aeniua
あげは,あげは,aea
アゲハチョウ,あげはちょう,aeaou
揚羽蝶,あげはちょう,aeaou
あけび,あけび,aei
あけびこのは,あけびこのは,aeionoa
あけぼの,あけぼの,aeono
あけぼのいろ,あけぼのいろ,aeonoio
あげまき,あげまき,aeai
あげまん,あげまん,aean
あけみ,あけみ,aei
あげもの,あげもの,aeono
あげはちょう,あげはちょう,aeaou
あこ,あこ,ao
下火,したび,iai
吾子,わがこ,aao
あご,あご,ao
顎,あご,ao
あこう,あこう,aou
亜綱,あこう,aou
阿衡,あこう,aou
あこうだい,あこうだい,aouai
アコーディオン,あこーでぃおん,aooion
あこがれ,あこがれ,aoae
あこぎ,あこぎ,aoi
あごひげ,あごひげ,aoie
あこめ,あこめ,aoe
衵,あこめ,aoe
あさ,あさ,aa
朝,あさ,aa
麻,あさ,aa
あざ,あざ,aa
アザーン,あざーん,aaan
あさいち,あさいち,aaii
朝一,あさいち,aaii
あさおき,あさおき,aaoi
あさがお,あさがお,aaao
アサガオ,あさがお,aaao
あさがすみ,あさがすみ,aaaui
あさかぜ,あさかぜ,aaae
あさがた,あさがた,aaaa
朝活,あさかつ,aaau
あさかんむり,あさかんむり,aaanui
あさぎ,あさぎ,aai
あさぎまだら,あさぎまだら,aaiaaa
あさぎり,あさぎり,aaii
朝霧,あさぎり,aaii
あさぐも,あさぐも,aauo
あさげ,あさげ,aae
あざけり,あざけり,aaei
朝御飯,あさごはん,aaoan
あさごはん,あさごはん,aaoan
あさざ,あさざ,aaa
あさしお,あさしお,aaio
あさしも,あさしも,aaio
あさせ,あさせ,aae
あさぞら,あさぞら,aaoa
あさだち,あさだち,aaai
浅知恵,あさじえ,aaie
あさって,あさって,aae
あさつき,あさつき,aaui
明後日,みょうごにち,ouonii
あさっぱら,あさっぱら,aaaa
あさつゆ,あさつゆ,aauu
あさなぎ,あさなぎ,aanai
あさぬの,あさぬの,aanuno
あさね,あさね,aane
朝寝坊,あさねぼう,aaneou
あさはら,あさはら,aaaa
朝飯,あさめし,aaei
朝晩,あさばん,aaan
あさひ,あさひ,aai
あさひばり,あさひばり,aaiai
あさぶくろ,あさぶくろ,aauuo
あさぼらけ,あさぼらけ,aaoae
あざみ,あざみ,aai
あざみうま,あざみうま,aaiua
あさめし,あさめし,aaei
あさめしまえ,あさめしまえ,aaeiae
あさもや,あさもや,aaoa
あさやけ,あさやけ,aaae
あさゆう,あさゆう,aauu
海豹,あざらし,aaai
アザラシ,あざらし,aaai
あさり,あさり,aai
アサリ,あさり,aai
朝練,あされん,aaen
あざらし,あざらし,aaai
あし,あし,ai
足,あし,ai
あじ,あじ,ai
味,あじ,ai
阿字,あじ,ai
あしあと,あしあと,aiao
足跡,そくせき,ouei
あしうら,あしうら,aiua
アジェンダ,あじぇんだ,aiena
あしおと,あしおと,aioo
あしか,あしか,aia
アシカ,あしか,aia
あしがかり,あしがかり,aiaai
あしかせ,あしかせ,aiae
あしがる,あしがる,aiau
あしくび,あしくび,aiui
あしごい,あしごい,aioi
あじさい,あじさい,aiai
あじさし,あじさし,aiai
アジサシ,あじさし,aiai
あしざま,あしざま,aiaa
あした,あした,aia
足駄,あしだ,aia
あしだかぐも,あしだかぐも,aiaauo
アシダカグモ,あしだかぐも,aiaauo
あしたば,あしたば,aiaa
あしつき,あしつき,aiui
アシツキ,あしつき,aiui
あじつけ,あじつけ,aiue
あしてまとい,あしてまとい,aieaoi
あしでまとい,あしでまとい,aieaoi
あしとり,あしとり,aioi
あしどり,あしどり,aioi
あしながぐも,あしながぐも,ainaauo
アシナガグモ,あしながぐも,ainaauo
あしながばち,あしながばち,ainaaai
あしば,あしば,aia
あしばや,あしばや,aiaa
あしはら,あしはら,aiaa
あしぶみ,あしぶみ,aiui
あしへん,あしへん,aien
足偏,あしへん,aien
あじみ,あじみ,aii
味見,あじみ,aii
あしもと,あしもと,aioo
唖者,あしゃ,aa
あしゆ,あしゆ,aiu
亜種,あしゅ,au
あしゆび,あしゆび,aiui
趾,し,i
阿修羅,あしゅら,aua
亜硝酸,あしょうさん,aouan
あしわ,あしわ,aia
あしわら,あしわら,aiaa
あじわい,あじわい,aiai
あす,あす,au
アスカーブ,あすかーぶ,auaau
あずかり,あずかり,auai
あずき,あずき,aui
あずきいろ,あずきいろ,auiio
あずさ,あずさ,aua
アスタチン,あすたちん,auain
アスタリスク,あすたりすく,auaiuu
アステリスク,あすてりすく,aueiuu
あすなろ,あすなろ,aunao
アスペ,あすぺ,aue
アスベスト,あすべすと,aueuo
アスペリティ,あすぺりてぃ,aueiei
あずま,あずま,aua
あずまうた,あずまうた,auaua
あずまや,あずまや,auaa
アスリート,あすりーと,auiio
アスル,あする,auu
あせ,あせ,ae
汗,あせ,ae
あぜ,あぜ,ae
亜聖,あせい,aei
アセクシャル,あせくしゃる,aeuau
あぜくら,あぜくら,aeua
アセスメント,あせすめんと,aeueno
アセチレン,あせちれん,aeien
アセティシズム,あせてぃしずむ,aeeiiuu
あせび,あせび,aei
あぜみち,あぜみち,aeii
あせも,あせも,aeo
あせり,あせり,aei
アセロラ,あせろら,aeoa
唖然,あぜん,aen
アセンブリー,あせんぶりー,aenuii
阿僧祇,あそうぎ,aoui
亜属,あぞく,aou
あそび,あそび,aoi
あそびば,あそびば,aoia
あだ,あだ,aa
あたい,あたい,aai
価,あたい,aai
値,あたい,aai
あだうち,あだうち,aaui
あとかたづけ,あとかたづけ,aoaaue
あたたか,あたたか,aaaa
あたたかさ,あたたかさ,aaaaa
あたたかみ,あたたかみ,aaaai
アダックス,あだっくす,aauu
アタッシェ,あたっしぇ,aaie
アタッシュケース,あたっしゅけーす,aaueeu
アタッチメント,あたっちめんと,aaieno
あだな,あだな,aana
あだぼれ,あだぼれ,aaoe
あたま,あたま,aaa
頭,あたま,aaa
あたまかず,あたまかず,aaaau
頭金,あたまきん,aaain
あたり,あたり,aai
あたりさわり,あたりさわり,aaiaai
あたりどし,あたりどし,aaioi
あたりまえ,あたりまえ,aaiae
あたりめ,あたりめ,aaie
あたりや,あたりや,aaia
アダルト,あだると,aauo
亜炭,あたん,aan
あちこち,あちこち,aioi
あちらこちら,あちらこちら,aiaoia
圧,あつ,au
あついた,あついた,auia
圧延,あつえん,auen
悪化,あっか,aa
悪果,あっか,aa
悪貨,あっか,aa
あつかい,あつかい,auai
圧覚,あっかく,aau
あつがみ,あつがみ,auai
圧巻,あっかん,aan
悪漢,あっかん,aan
あっかんべー,あっかんべー,aanee
アッカンベー,あっかんべー,aanee
悪気,わるぎ,aui
悪鬼,あっき,ai
あつぎり,あつぎり,auii
呆気,あっけ,ae
悪計,あっけい,aei
厚化粧,あつげしょう,aueou
悪口,わるくち,auui
悪口雑言,あっこうぞうごん,aououon
あつさ,あつさ,aua
圧搾,あっさく,aau
圧殺,あっさつ,aau
あつし,あつし,aui
圧死,あっし,ai
圧縮,あっしゅく,auu
圧勝,あっしょう,aou
圧制,あっせい,aei
圧政,あっせい,aei
あっせん,あっせん,aen
斡旋,あっせん,aen
あつぞこ,あつぞこ,auoo
圧着,あっちゃく,aau
あつで,あつで,aue
圧倒,あっとう,aou
アットゥシ,あっとぅし,aoui
アットマーク,あっとまーく,aoaau
圧入,あつにゅう,aunuu
圧迫,あっぱく,aau
天晴,あっぱれ,aae
アップ,あっぷ,au
圧服,あっぷく,auu
圧伏,あっぷく,auu
アップグレード,あっぷぐれーど,auueeo
アップスタイル,あっぷすたいる,auuaiu
アップセル,あっぷせる,aueu
アップデート,あっぷでーと,aueeo
アップリケ,あっぷりけ,auie
アップル,あっぷる,auu
アップロード,あっぷろーど,auooo
あづま,あづま,aua
あつまり,あつまり,auai
あつみ,あつみ,aui
圧抑,あつよく,auou
あつらえ,あつらえ,auae
圧力,あつりょく,auou
圧力計,あつりょくけい,auouei
圧力団体,あつりょくだんたい,auouanai
圧力鍋,あつりょくなべ,auounae
あつれき,あつれき,auei
軋轢,あつれき,auei
あて,あて,ae
あてこすり,あてこすり,aeoui
あてさき,あてさき,aeai
宛字,あてじ,aei
あですがた,あですがた,aeuaa
あてずっぽう,あてずっぽう,aeuou
あてつけ,あてつけ,aeue
あてな,あてな,aena
アテナ,あてな,aena
あてにげ,あてにげ,aenie
アデニン,あでにん,aenin
アデリーペンギン,あでりーぺんぎん,aeiienin
あと,あと,ao
あど,あど,ao
後,のち,noi
阿堵,あと,ao
あとあし,あとあし,aoai
あとあじ,あとあじ,aoai
あとあと,あとあと,aoao
あとおし,あとおし,aooi
